Season,Primary Category,Secondary Category,ActivityName,Description,ActivityNumber,Ages,Location,Address,City,State,Zip,Activity Facility,Start Date,End Date,Start Time,End Time,Sessions,Days of the Week,Fee,Status,Address/Location
Spring 2019,Sports,Ultimate Frisbee,High School Ultimate Frisbee Free Agents,"If you are an individual interested in playing in MCR's High School Ultimate Frisbee league, but do not already have a team, please sign up here. Placement is not guaranteed, but your name will be added to a free agent list.Questions - Email the league coordinator at Stephanie.McKay@MontgomeryCountyMD.gov.",56308,14 and up,TBD,TBD,TBD,TBD,TBD,Location unspecified,4/7/2019,6/9/2019,12:00:00 PM,6:00:00 PM,8,S,0,Open,"TBD
TBD, TBD TBD"
Spring 2019,Dance,Ballroom,Beginner Argentine Tango,For questions contact Avant Garde Ballroom at 301-881-1436. Beginner level.,64172,17 and up,Avant Garde Ballroom Dance Center,5628-M Nicholson Lane,N. Bethesda,MD,20895,Avant Garde Studio Room at Avant Garde Ballroom Dance Center,4/1/2019,6/3/2019,8:15:00 PM,9:00:00 PM,8,M,96,Open,"5628-M Nicholson Lane
N. Bethesda, MD 20895
(39.044664, -77.112529)"
Spring 2019,Arts & Crafts,Jewelry,Fiber Art Jewelry,"Learn the techniques to create beautiful Vintage and Victorian inspired jewelry.  Students will develop the skills to apply antique finishes to create earring and bracelet designs.  Bring a basic tool kit of flat nose pliers, round nose pliers and wire cutters.  $20 material fee due to instructor at class.",63998,15 and up,Wisconsin Place Community Rec Center,5311 Friendship Boulevard,Chevy Chase,MD,20815,Wisconsin Classroom 2 at Wisconsin Place Community Rec Center,6/8/2019,6/8/2019,12:00:00 PM,2:00:00 PM,1,Sa,36,Open,"5311 Friendship Boulevard
Chevy Chase, MD 20815
(38.962173, -77.088959)"
Spring 2019,Dance,Hip Hop,Hip Hop kids,"Get ready to pop, lock and rock your body in this action-packed dance program. Learn the latest hip-hop dance moves using old-school tunes and the latest hits. Family and friends will get to see the students showcase their talents on the last day of class in a final performance.  All ability levels welcome.",63588,At least 9 but less than 14,Plum Gar Community Recreation Center,19561 Scenery Drive,Germantown,MD,20874,Plum Gar Social Hall at Plum Gar Community Recreation Center,4/6/2019,6/8/2019,11:00:00 AM,11:45:00 AM,8,Sa,80,Open,"19561 Scenery Drive
Germantown, MD 20874
(39.177047, -77.233861)"
Spring 2019,Dance,Hip Hop,Hippo Hoppo,"This class is perfect for introducing your little one to hip-hop. Using games and music, the class focuses on rhythm, musicality and basic footwork. We only use age-appropriate music and hip-hop dance moves to create a love for dance. No dance experience is necessary.",63407,At least 3 but less than 6,White Oak Community Recreation Center,1700 April Lane,Silver Spring,MD,20904,White Oak Community Room at White Oak Community Recreation Center,5/11/2019,6/8/2019,10:15:00 AM,11:00:00 AM,3,Sa,29,Open,"1700 April Lane
Silver Spring, MD 20904
(39.046674, -76.977052)"
Spring 2019,Martial Arts,Karate/Jujitsu,Little Ninjas,"Through the concept of edutainment children will develop  the skills of concentration and self-control.   Help gain confidence through learning the basic skills of karate in a  safe, clean, and professional environment.   Our low student-to-teacher ratio and safe training mats will ensure that  your child has a comfortable and exciting experience.  An official Kicks Karate uniform and belt are  included in the fee.",64226,At least 5 but less than 8,Kicks Karate Potomac,9812 Falls Rd. Suite 116,Potomac,MD,20854,Kicks Karate Potomac at Kicks Karate Potomac,4/1/2019,5/8/2019,4:20:00 PM,5:00:00 PM,10,"M,W",129,Open,"9812 Falls Rd. Suite 116
Potomac, MD 20854
(39.016816, -77.210319)"
Spring 2019,Dance,Hip Hop,Hippo Hoppo,"This class is perfect for introducing your little one to hip-hop. Using games and music, the class focuses on rhythm, musicality and basic footwork. We only use age-appropriate music and hip-hop dance moves to create a love for dance. No dance experience is necessary.",63403,At least 3 but less than 6,Potomac Community Recreation Center,11315 Falls Road,Potomac,MD,20854,Potomac Multi Purpose Room at Potomac Community Recreation Center,4/4/2019,4/25/2019,6:00:00 PM,6:45:00 PM,3,Th,29,Open,"11315 Falls Road
Potomac, MD 20854
(39.041226, -77.19248)"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 2,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who are already water adjusted. Students must be able to submerge for 3 seconds and float on their front and back without support. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63823,At least 4 but less than 7,Olney Swim Center,16605 Georgia Avenue,Olney,MD,20832,OSC Leisure Pool 3 at Olney Swim Center,2/24/2019,4/7/2019,9:50:00 AM,10:20:00 AM,6,S,65,Open,"16605 Georgia Avenue
Olney, MD 20832
(39.126464, -77.072072)"
Spring 2019,Arts & Crafts,Pottery,Handcrafted Pottery,"Develop techniques for hand building pieces of functional and decorative pottery. Practice techniques on the potter's wheel, including centering, and learn about clay, drying, firing and glazing. Bring clay tools and an old towel. Material fee due at first session.",63556,17 and up,Nancy H. Dacek North Potomac Community Rec Center,13850 Travilah Road,Rockville,MD,20850,N Potomac CRC Pottery Room at Nancy H. Dacek North Potomac Community Rec Center,4/3/2019,5/29/2019,10:00:00 AM,1:00:00 PM,8,W,205,Open,"13850 Travilah Road
Rockville, MD 20850
(39.082916, -77.232348)"
Spring 2019,Aquatics,Water Fitness,Deep Water Running,Running in deep water is an ideal cardiovascular exercise with no weight-bearing stress. This exercise is beneficial for cross training and rehabilitating.   Deep water belt is required and can be purchased for $20.,62982,12 and up,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool at Germantown Indoor Swim Center,3/18/2019,6/3/2019,7:50:00 PM,8:40:00 PM,10,M,65,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
Spring 2019,Travel,Senior Trips - SOAR,Give Me Liberty or Give Me Death -Patrick Henry,"A New Tour!We will trace Patrick Henry?s path to history by touring  sites in Scotchtown, VA, founded in 1719, and Patrick Henry?s home where he  delivered his famous speech.  A visit to  the historic Hanover Courthouse, built in 1735, and where Henry made his  reputation as a lawyer.  Enter the St.  John?s Church, built in 1741, where Patrick Henry delivered his ?Give Me  Liberty or Give Me Death? speech.  We  will also visit Hanover Tavern, built in 1792 on the site of the original  Shelton Ordinary, and was the home of Henry?s in-laws and where he lived while  studying law.  Buffet lunch is included  at the Hanover Tavern.",59913,55 and up,Olney Manor Recreational Park,16601 Gerogia Avenue,Olney,MD,20832,Olney Manor Parking Lot at Olney Manor Recreational Park,5/23/2019,5/23/2019,7:15:00 AM,6:30:00 PM,1,Th,99,Open,"16601 Gerogia Avenue
Olney, MD 20832"
Spring 2019,Aquatics,Beginner Swim Lessons,Beginner 3,"Designed for children 4-6 years of age. Parents DO NOT accompany children. This class is for students who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course descriptions carefully. Select the course level for which the students has mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classed will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Courses meet for six (6) 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",63644,At least 4 but less than 7,Martin Luther King Jr. Swim Center,1201 Jackson Road,Silver Spring,MD,20904,MLK Leisure Pool 2 at Martin Luther King Jr. Swim Center,3/5/2019,4/9/2019,6:50:00 PM,7:20:00 PM,6,T,65,Open,"1201 Jackson Road
Silver Spring, MD 20904
(39.055072, -76.982795)"
Spring 2019,Dance,Line Dancing,Urban Line Dance,This class introduces you to the basic patterns and steps for line dancing by a certified line dancing instructor. Start with beginner-level step patterns and gradually progress to intermediate dances with slightly more complex patterns. For more information contact Peytrienne at 301-379-5937. Beginner level.,63564,17 and up,Holiday Park Senior Center,3950 Ferrara Drive,Wheaton,MD,20906,Holiday Sr Classroom 20 at Holiday Park Senior Center,4/2/2019,5/28/2019,6:15:00 PM,7:15:00 PM,8,T,65,Open,"3950 Ferrara Drive
Wheaton, MD 20906
(39.049836, -77.076744)"
Spring 2019,Aquatics,Adult Swim Lessons,Adult Level 3,"Designed for teenagers and adults (14yrs and older) who can already swim a combined stroke on their front and back, using a kick and arm stroke for a minimum of 5 yards. Please read the course descriptions carefully. Select the course level for which the student had mastered all prerequisite skills. By choosing the appropriate level, the student will be more likely to succeed. Please check all course dates to determine which classes will best accommodate their needs. THERE ARE NO MAKE-UPS OR REFUNDS FOR MISSED CLASSES. Course meet for six 30 minute sessions. Class size is limited to 6 students. Screening is available to evaluate the student's abilities at each pool if you are unsure of which class to register for. Call the pool of your choice and speak with the Lesson Supervisor for evaluation dates and times (bring a swim suit and towel).",62750,14 and up,Germantown Indoor Swim Center,18000 Central Park Circle,Boyds,MD,20841,GISC Rec Pool Lane 1 at Germantown Indoor Swim Center,5/4/2019,6/15/2019,9:45:00 AM,10:15:00 AM,6,Sa,65,Open,"18000 Central Park Circle
Boyds, MD 20841
(39.150091, -77.30173)"
